Limits as at Thu May  2 10:31:15 2019
Site Name,Plant Type,Plant ID,Region,Measurement,Level,Alternate Value,Low,High
TEMPLATE,LINE,NSW_EA_132,NEMMCO,MVA,NORM,EA_WIN_N,-0.1,0.1
TEMPLATE,LINE,NSW_EA_132,NEMMCO,MVA,NORM,EA_WIN_D,-0.1,0.1
TEMPLATE,LINE,NSW_EA_132,NEMMCO,MVA,NORM,EA_SUM_N,-0.1,0.1
TEMPLATE,LINE,NSW_EA_132,NEMMCO,MVA,NORM,EA_SUM_D,-0.1,0.1
TEMPLATE,LINE,NSW_EA_132,NEMMCO,MVA,EMER,EA_WIN_N,-0.1,0.1
TEMPLATE,LINE,NSW_EA_132,NEMMCO,MVA,EMER,EA_WIN_D,-0.1,0.1
TEMPLATE,LINE,NSW_EA_132,NEMMCO,MVA,EMER,EA_SUM_N,-0.1,0.1
TEMPLATE,LINE,NSW_EA_132,NEMMCO,MVA,EMER,EA_SUM_D,-0.1,0.1
TEMPLATE,LINE,NSW_EA_132,NEMMCO,MVA,LDSH,EA_WIN_N,-0.1,0.1
TEMPLATE,LINE,NSW_EA_132,NEMMCO,MVA,LDSH,EA_WIN_D,-0.1,0.1
TEMPLATE,LINE,NSW_EA_132,NEMMCO,MVA,LDSH,EA_SUM_N,-0.1,0.1
TEMPLATE,LINE,NSW_EA_132,NEMMCO,MVA,LDSH,EA_SUM_D,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_132,NEMMCO,MVA,NORM,N_SUM_D,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_132,NEMMCO,MVA,NORM,N_SUM_N,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_132,NEMMCO,MVA,NORM,N_AUT/SPR_D,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_132,NEMMCO,MVA,NORM,N_AUT/SPR_N,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_132,NEMMCO,MVA,NORM,N_WIN_D,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_132,NEMMCO,MVA,NORM,N_WIN_N,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_132,NEMMCO,MVA,EMER,N_SUM_D,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_132,NEMMCO,MVA,EMER,N_SUM_N,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_132,NEMMCO,MVA,EMER,N_AUT/SPR_D,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_132,NEMMCO,MVA,EMER,N_AUT/SPR_N,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_132,NEMMCO,MVA,EMER,N_WIN_D,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_132,NEMMCO,MVA,EMER,N_WIN_N,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_132,NEMMCO,MVA,LDSH,N_SUM_D,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_132,NEMMCO,MVA,LDSH,N_SUM_N,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_132,NEMMCO,MVA,LDSH,N_AUT/SPR_D,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_132,NEMMCO,MVA,LDSH,N_AUT/SPR_N,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_132,NEMMCO,MVA,LDSH,N_WIN_D,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_132,NEMMCO,MVA,LDSH,N_WIN_N,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_330,NEMMCO,MVA,NORM,N_SUM_D,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_330,NEMMCO,MVA,NORM,N_SUM_N,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_330,NEMMCO,MVA,NORM,N_AUT/SPR_D,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_330,NEMMCO,MVA,NORM,N_AUT/SPR_N,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_330,NEMMCO,MVA,NORM,N_WIN_D,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_330,NEMMCO,MVA,NORM,N_WIN_N,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_330,NEMMCO,MVA,EMER,N_SUM_D,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_330,NEMMCO,MVA,EMER,N_SUM_N,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_330,NEMMCO,MVA,EMER,N_AUT/SPR_D,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_330,NEMMCO,MVA,EMER,N_AUT/SPR_N,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_330,NEMMCO,MVA,EMER,N_WIN_D,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_330,NEMMCO,MVA,EMER,N_WIN_N,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_330,NEMMCO,MVA,LDSH,N_SUM_D,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_330,NEMMCO,MVA,LDSH,N_SUM_N,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_330,NEMMCO,MVA,LDSH,N_AUT/SPR_D,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_330,NEMMCO,MVA,LDSH,N_AUT/SPR_N,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_330,NEMMCO,MVA,LDSH,N_WIN_D,-0.1,0.1
TEMPLATE,LINE,NSW_STAT_1_330,NEMMCO,MVA,LDSH,N_WIN_N,-0.1,0.1
TEMPLATE,LINE,QLD_DYN_132,NEMMCO,MVA,NORM,QLDSUM_D,-0.1,0.1
TEMPLATE,LINE,QLD_DYN_132,NEMMCO,MVA,NORM,QLDAUT_SPR_D,-0.1,0.1
TEMPLATE,LINE,QLD_DYN_132,NEMMCO,MVA,NORM,QLDWIN_D,-0.1,0.1
TEMPLATE,LINE,QLD_DYN_132,NEMMCO,MVA,EMER,QLDSUM_D,-0.1,0.1
TEMPLATE,LINE,QLD_DYN_132,NEMMCO,MVA,EMER,QLDAUT_SPR_D,-0.1,0.1
TEMPLATE,LINE,QLD_DYN_132,NEMMCO,MVA,EMER,QLDWIN_D,-0.1,0.1
