C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2019/05/22,04:00:08,0000000308171094,DISPATCHSCADA,0000000308171088
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",BARCSF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",BUTLERSG,9.199999
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CALL_A_4,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CAPTL_WF,9.568001
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CATHROCK,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CHALLHWF,13.40
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CLOVER,-0.01
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CLUNY,8.925155
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CNUNDAWF,4.705489
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CULLRGWF,5.69
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",ERGT01,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",GB01,-0.021667
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",GERMCRK,39.299999
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",GRIFSF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",HUGSF1,-0.1220
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LKBONNY1,8.305771
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LRSF1,-0.0310
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MBAHNTH,58.443741
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MLSP1,0.100001
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MLWF1,8.28
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MTMILLAR,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",PALOONA,12.96
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",PIONEER,-0.30
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",PORTWF,30.90
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",REPULSE,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",ROWALLAN,6.6953
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",ROYALLA1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RPCG,-0.50
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RUBICON,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",SATGN1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",SATGS1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",STARHLWF,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",WAUBRAWF,28.1660
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",WOOLNTH1,46.870018
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",WPWF,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",YAMBUKWF,5.70
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",YSWF1,18.299999
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",AGLHAL,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",AGLSOM,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",ANGAST1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",ARWF1,14
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",BALBG1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",BALBL1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",BALDHWF1,44.1990
