C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,00:15:36,0000000307932428,P5MIN,0000000307932425
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 00:20:00","2019/05/16 00:20:00",0,-285448533.3020,0,0,0,0,0,1.32,,,,,0,0,0,0,"2019/05/16 00:15:25"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",BROKENH1,"2019/05/16 00:30:00",6.4,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",BROKENH1,"2019/05/16 00:35:00",36.46,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",BROKENH1,"2019/05/16 00:40:00",39.25,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",BROKENH1,"2019/05/16 00:45:00",23.55,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",BROKENH1,"2019/05/16 00:50:00",20.73,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",BROKENH1,"2019/05/16 00:55:00",30.19,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",BROKENH1,"2019/05/16 01:00:00",23.72,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",BROKENH1,"2019/05/16 01:05:00",35.02,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",BROKENH1,"2019/05/16 01:10:00",25.62,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",BROKENH1,"2019/05/16 01:15:00",21.31,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",GORDON,"2019/05/16 00:20:00",34.15,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",GORDON,"2019/05/16 00:25:00",35.05,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",GORDON,"2019/05/16 00:30:00",35.05,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",GORDON,"2019/05/16 00:40:00",0.69,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",GORDON,"2019/05/16 00:45:00",17.87,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",GORDON,"2019/05/16 00:50:00",21.34,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",GORDON,"2019/05/16 00:55:00",15.5,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",GORDON,"2019/05/16 01:00:00",24.19,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",GORDON,"2019/05/16 01:10:00",8.56,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",GORDON,"2019/05/16 01:15:00",12.86,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",HUMEV,"2019/05/16 00:30:00",20.02,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",HUMEV,"2019/05/16 00:35:00",114.07,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",HUMEV,"2019/05/16 00:40:00",122.81,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",HUMEV,"2019/05/16 00:45:00",73.7,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",HUMEV,"2019/05/16 00:50:00",64.86,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",HUMEV,"2019/05/16 00:55:00",94.48,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",HUMEV,"2019/05/16 01:00:00",74.21,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",HUMEV,"2019/05/16 01:05:00",109.58,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",HUMEV,"2019/05/16 01:10:00",80.15,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",HUMEV,"2019/05/16 01:15:00",66.68,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",JBUTTERS,"2019/05/16 00:20:00",4.02,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",JBUTTERS,"2019/05/16 00:25:00",4.12,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",JBUTTERS,"2019/05/16 00:30:00",4.12,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",JBUTTERS,"2019/05/16 00:50:00",2.51,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",JBUTTERS,"2019/05/16 00:55:00",1.82,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",JBUTTERS,"2019/05/16 01:00:00",2.85,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 00:20:00",20.09,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 00:25:00",20.62,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 00:30:00",20.62,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 00:40:00",0.69,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 00:45:00",17.87,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 00:50:00",12.56,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 00:55:00",9.12,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 01:00:00",14.23,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 01:10:00",8.56,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 01:15:00",12.86,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LK_ECHO,"2019/05/16 00:20:00",20.09,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LK_ECHO,"2019/05/16 00:25:00",20.62,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LK_ECHO,"2019/05/16 00:30:00",20.62,2,"2019/05/16 00:15:25"
