C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,06:10:36,0000000307941288,P5MIN,0000000307941285
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 06:15:00","2019/05/16 06:15:00",0,553646671.2690,0,0,0,160.533,0,0,,,,,0,0,0,0,"2019/05/16 06:10:25"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",GORDON,"2019/05/16 06:15:00",7.94,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",GORDON,"2019/05/16 06:20:00",7.67,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",GORDON,"2019/05/16 06:25:00",6.52,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",GORDON,"2019/05/16 06:30:00",2.8,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",GORDON,"2019/05/16 06:35:00",10.11,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",LI_WY_CA,"2019/05/16 06:15:00",7.94,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",LI_WY_CA,"2019/05/16 06:20:00",7.67,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",LI_WY_CA,"2019/05/16 06:25:00",6.52,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",LI_WY_CA,"2019/05/16 06:30:00",2.8,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",LI_WY_CA,"2019/05/16 06:35:00",10.11,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",LK_ECHO,"2019/05/16 06:15:00",7.94,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",LK_ECHO,"2019/05/16 06:20:00",7.67,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",LK_ECHO,"2019/05/16 06:25:00",6.52,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",LK_ECHO,"2019/05/16 06:30:00",2.8,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",LK_ECHO,"2019/05/16 06:35:00",10.11,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",MEADOWBK,"2019/05/16 06:15:00",7.94,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",MEADOWBK,"2019/05/16 06:20:00",7.67,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",MEADOWBK,"2019/05/16 06:25:00",6.52,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",MEADOWBK,"2019/05/16 06:30:00",2.8,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",MEADOWBK,"2019/05/16 06:35:00",10.11,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",TARRALEA,"2019/05/16 06:15:00",7.94,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",TARRALEA,"2019/05/16 06:20:00",7.67,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",TARRALEA,"2019/05/16 06:25:00",6.52,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",TARRALEA,"2019/05/16 06:30:00",2.8,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",TARRALEA,"2019/05/16 06:35:00",10.11,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",TUNGATIN,"2019/05/16 06:15:00",7.94,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",TUNGATIN,"2019/05/16 06:20:00",7.67,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",TUNGATIN,"2019/05/16 06:25:00",6.52,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",TUNGATIN,"2019/05/16 06:30:00",2.8,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",TUNGATIN,"2019/05/16 06:35:00",10.11,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",WRSF1,"2019/05/16 06:30:00",-104.72,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",WRSF1,"2019/05/16 06:35:00",-101.69,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",WRSF1,"2019/05/16 06:40:00",-123.38,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",WRSF1,"2019/05/16 06:45:00",-115.8,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",WRSF1,"2019/05/16 06:50:00",-118.29,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",WRSF1,"2019/05/16 06:55:00",-150.32,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",WRSF1,"2019/05/16 07:00:00",-151.9,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",WRSF1,"2019/05/16 07:05:00",-104.75,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",WRSF1,"2019/05/16 07:10:00",-115.57,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",WRWF1,"2019/05/16 06:30:00",-104.72,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",WRWF1,"2019/05/16 06:35:00",-101.69,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",WRWF1,"2019/05/16 06:40:00",-123.38,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",WRWF1,"2019/05/16 06:45:00",-115.8,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",WRWF1,"2019/05/16 06:50:00",-118.29,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",WRWF1,"2019/05/16 06:55:00",-150.32,2,"2019/05/16 06:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:15:00",WRWF1,"2019/05/16 07:00:00",-151.9,2,"2019/05/16 06:10:25"
