C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,06:40:35,0000000307942072,P5MIN,0000000307942069
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 06:45:00","2019/05/16 06:45:00",0,950575704.7040,0,0,0,227.813,0,14.64,,,,,0,0,0,0,"2019/05/16 06:40:25"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",GORDON,"2019/05/16 06:45:00",14.92,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",GORDON,"2019/05/16 07:05:00",0.18,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",GORDON,"2019/05/16 07:10:00",0.05,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",GORDON,"2019/05/16 07:15:00",-0.02,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",GORDON,"2019/05/16 07:20:00",-0.02,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",GORDON,"2019/05/16 07:35:00",9.37,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",GORDON,"2019/05/16 07:40:00",9.37,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",LI_WY_CA,"2019/05/16 06:45:00",14.92,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",LI_WY_CA,"2019/05/16 07:05:00",0.18,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",LI_WY_CA,"2019/05/16 07:10:00",0.05,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",LI_WY_CA,"2019/05/16 07:15:00",-0.02,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",LI_WY_CA,"2019/05/16 07:20:00",-0.02,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",LI_WY_CA,"2019/05/16 07:35:00",9.37,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",LI_WY_CA,"2019/05/16 07:40:00",9.37,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",LK_ECHO,"2019/05/16 06:45:00",14.92,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",LK_ECHO,"2019/05/16 07:05:00",0.18,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",LK_ECHO,"2019/05/16 07:10:00",0.05,2,"2019/05/16 06:40:25"
