C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,11:40:35,0000000307951743,P5MIN,0000000307951740
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 11:45:00","2019/05/16 11:45:00",0,6502746730.9920,0,0,0,6.9,0.017,628.124,,,,,0,0,0,0,"2019/05/16 11:40:25"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:45:00",GORDON,"2019/05/16 11:45:00",19.7,2,"2019/05/16 11:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:45:00",GORDON,"2019/05/16 11:50:00",21.99,2,"2019/05/16 11:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:45:00",GORDON,"2019/05/16 11:55:00",22.2,2,"2019/05/16 11:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:45:00",GORDON,"2019/05/16 12:00:00",22.2,2,"2019/05/16 11:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:45:00",GORDON,"2019/05/16 12:05:00",17.71,2,"2019/05/16 11:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:45:00",GORDON,"2019/05/16 12:10:00",17.75,2,"2019/05/16 11:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:45:00",GORDON,"2019/05/16 12:15:00",17.81,2,"2019/05/16 11:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:45:00",GORDON,"2019/05/16 12:20:00",18.13,2,"2019/05/16 11:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:45:00",GORDON,"2019/05/16 12:25:00",23.27,2,"2019/05/16 11:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:45:00",GORDON,"2019/05/16 12:30:00",23.27,2,"2019/05/16 11:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:45:00",GORDON,"2019/05/16 12:35:00",37.05,2,"2019/05/16 11:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:45:00",GORDON,"2019/05/16 12:40:00",37.05,2,"2019/05/16 11:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:45:00",LI_WY_CA,"2019/05/16 11:45:00",19.7,2,"2019/05/16 11:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:45:00",LI_WY_CA,"2019/05/16 11:50:00",21.99,2,"2019/05/16 11:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:45:00",LI_WY_CA,"2019/05/16 11:55:00",22.2,2,"2019/05/16 11:40:25"
