C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,16:10:35,0000000307959487,P5MIN,0000000307959484
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 16:15:00","2019/05/16 16:15:00",0,-262724812.3660,0,0,0,35.304,0,0,,,,,0,0,0,0,"2019/05/16 16:10:24"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",GORDON,"2019/05/16 16:15:00",9.76,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",GORDON,"2019/05/16 16:20:00",17.44,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",GORDON,"2019/05/16 16:25:00",30.91,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",GORDON,"2019/05/16 16:30:00",13.24,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",GORDON,"2019/05/16 16:35:00",13.51,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",GORDON,"2019/05/16 16:40:00",13.77,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",GORDON,"2019/05/16 16:45:00",13.77,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",GORDON,"2019/05/16 16:50:00",13.28,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",GORDON,"2019/05/16 16:55:00",17.41,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",GORDON,"2019/05/16 17:00:00",435000,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",GORDON,"2019/05/16 17:05:00",435000,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",GORDON,"2019/05/16 17:10:00",435000,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LI_WY_CA,"2019/05/16 16:15:00",9.76,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LI_WY_CA,"2019/05/16 16:20:00",17.44,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LI_WY_CA,"2019/05/16 16:25:00",30.91,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LI_WY_CA,"2019/05/16 16:30:00",13.24,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LI_WY_CA,"2019/05/16 16:35:00",13.51,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LI_WY_CA,"2019/05/16 16:40:00",13.77,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LI_WY_CA,"2019/05/16 16:45:00",13.77,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LI_WY_CA,"2019/05/16 16:50:00",13.28,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LI_WY_CA,"2019/05/16 16:55:00",17.41,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LI_WY_CA,"2019/05/16 17:00:00",435000,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LI_WY_CA,"2019/05/16 17:05:00",435000,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LI_WY_CA,"2019/05/16 17:10:00",435000,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LK_ECHO,"2019/05/16 16:15:00",9.76,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LK_ECHO,"2019/05/16 16:20:00",17.44,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LK_ECHO,"2019/05/16 16:25:00",30.91,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LK_ECHO,"2019/05/16 16:30:00",13.24,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LK_ECHO,"2019/05/16 16:35:00",13.51,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LK_ECHO,"2019/05/16 16:40:00",13.77,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LK_ECHO,"2019/05/16 16:45:00",13.77,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LK_ECHO,"2019/05/16 16:50:00",13.28,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LK_ECHO,"2019/05/16 16:55:00",17.41,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LK_ECHO,"2019/05/16 17:00:00",435000,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LK_ECHO,"2019/05/16 17:05:00",435000,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",LK_ECHO,"2019/05/16 17:10:00",435000,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",MEADOWBK,"2019/05/16 16:15:00",9.76,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",MEADOWBK,"2019/05/16 16:20:00",17.44,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",MEADOWBK,"2019/05/16 16:25:00",30.91,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",MEADOWBK,"2019/05/16 16:30:00",13.24,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",MEADOWBK,"2019/05/16 16:35:00",13.51,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",MEADOWBK,"2019/05/16 16:40:00",13.77,2,"2019/05/16 16:10:24"
