C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,21:55:35,0000000307969296,P5MIN,0000000307969293
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 22:00:00","2019/05/16 22:00:00",0,6417755606.1550,0,0,0,0,0,625,,,,,0,0,0,0,"2019/05/16 21:55:25"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 22:00:00",GORDON,"2019/05/16 22:00:00",0.07,2,"2019/05/16 21:55:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 22:00:00",GORDON,"2019/05/16 22:45:00",0.3,2,"2019/05/16 21:55:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 22:00:00",GORDON,"2019/05/16 22:50:00",0.24,2,"2019/05/16 21:55:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 22:00:00",GORDON,"2019/05/16 22:55:00",0.22,2,"2019/05/16 21:55:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 22:00:00",LI_WY_CA,"2019/05/16 22:00:00",0.07,2,"2019/05/16 21:55:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 22:00:00",LI_WY_CA,"2019/05/16 22:45:00",0.3,2,"2019/05/16 21:55:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 22:00:00",LI_WY_CA,"2019/05/16 22:50:00",0.24,2,"2019/05/16 21:55:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 22:00:00",LI_WY_CA,"2019/05/16 22:55:00",0.22,2,"2019/05/16 21:55:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 22:00:00",LK_ECHO,"2019/05/16 22:00:00",0.07,2,"2019/05/16 21:55:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 22:00:00",LK_ECHO,"2019/05/16 22:45:00",0.3,2,"2019/05/16 21:55:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 22:00:00",LK_ECHO,"2019/05/16 22:50:00",0.24,2,"2019/05/16 21:55:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 22:00:00",LK_ECHO,"2019/05/16 22:55:00",0.22,2,"2019/05/16 21:55:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 22:00:00",MEADOWBK,"2019/05/16 22:00:00",0.07,2,"2019/05/16 21:55:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 22:00:00",MEADOWBK,"2019/05/16 22:45:00",0.3,2,"2019/05/16 21:55:25"
