Variable Name,Value for 0 MW, Coefficient,Value 10 MW,Value * Coeff  for 0 MW,Value * Coeff  for 10 MW,Difference between objective values
LOWER6SEC_Avail2_GSTONE4,1.198544637,6.73,0,8.066205405,0,
LOWER6SEC_Avail2_GSTONE6,0,6.73,1.198544637,0,8.066205405,
RAISEREG_Avail1_PPCCGT,1.411815555,9.99,0,14.1040374,0,
Energy_Avail2_STAN-3,13.55004039,31.95175439,14.51672705,432.9475623,463.8348973,
LOWER60SEC_Avail1_STAN-3,5,4.68,0,23.4,0,
RAISE60SEC_Avail1_STAN-3,5,1.89,0.444311189,9.45,0.839748148,
RAISEREG_Avail1_STAN-3,5,5.68,4.033313333,28.4,22.90921973,
Energy_Avail3_VP6,150,38.44983261,141.278001,5767.474891,5432.115488,
Energy_Avail7_BASTYAN,2.363812052,172.5298355,2.363812052,407.8281045,407.8281045,
Energy_Avail2_STAN-4,16.17207261,31.95175439,13.79357039,516.7260919,440.7287731,
RAISEREG_Avail1_STAN-4,2.621497778,5.68,5,14.89010738,28.4,
LOWER60SEC_Avail1_STAN-4,3.508684637,4.68,5,16.4206441,23.4,
RAISE60SEC_Avail1_STAN-4,0,1.89,5,0,9.45,
RAISE60SEC_Avail1_TARONG#2,0.444311189,1.89,0,0.839748148,0,
LOWER60SEC_Avail1_TARONG#2,0,4.68,3.508684637,0,16.4206441,
Energy_Avail0_G,0,-1105.583195,10,0,-11055.83195,
Total,,,,7240.547392,-4201.838871,11442.38626
Objective Values,,,,-13454403.71,-13465846.1,11442.38626
