2019/07/07 04:05:00
Item,ID,Our Value,AEMO Value
Objective,,-10494084.374222932,2976238441.563
Interconnector,N-Q-MNSP1,-260.0,-25.0
Interconnector,NSW1-QLD1,129.96104000000037,-172.31998
Interconnector,VIC1-NSW1,914.6546499999995,601.58949
Interconnector,T-V-MNSP1,-425.1960000000001,-426.19289
Interconnector,V-SA,-300.0,-377.70855
Interconnector,V-S-MNSP1,-137.80167999999986,0.0
Net Interchange (into),NSW1,1044.6936099999991,798.9094699999999
Net Interchange (into),QLD1,-130.03895999999963,-197.31998
Net Interchange (into),SA1,-437.80167999999986,-377.70855
Net Interchange (into),TAS1,425.1960000000001,426.19289
Net Interchange (into),VIC1,-902.0489699999998,-650.0738299999998
Generation,NSW1,6013.802370000001,6125.38
Generation,QLD1,5358.588959999999,5426.91
Generation,SA1,1405.87168,1347.9
Generation,TAS1,632.9639999999999,631.96
Generation,VIC1,4714.55897,4503.28
Load,NSW1,0,548.0
Load,QLD1,0,240.0
Load,SA1,0,2.0
Load,TAS1,0,0.0
Load,VIC1,0,10.0
Price,NSW1,0.0,35.00068
Price,QLD1,0.0,33.88143
Price,SA1,0.0,31.50155
Price,TAS1,0.0,34.42714
Price,VIC1,0.0,32.04545
