C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2019/04/29,16:25:08,0000000307295427,DISPATCHSCADA,0000000307295421
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",BARCSF1,15.200001
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",BUTLERSG,8.199999
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CALL_A_4,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CAPTL_WF,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CATHROCK,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CHALLHWF,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CLOVER,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CLUNY,11.939116
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CNUNDAWF,1.101285
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CULLRGWF,3.53
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",ERGT01,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",GB01,0.012653
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",GERMCRK,33.50
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",GRIFSF1,14.50
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",HUGSF1,5.51
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LKBONNY1,1.964806
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LRSF1,11.686001
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",MBAHNTH,57.975006
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",MLSP1,2.540001
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",MLWF1,0.6450
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",MTMILLAR,6.734387
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",PALOONA,27.639999
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",PIONEER,-0.20
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",PORTWF,0.20
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",REPULSE,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",ROWALLAN,7.4408
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",ROYALLA1,2.5280
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",RPCG,-0.30
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",RUBICON,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",SATGN1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",SATGS1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",STARHLWF,1.099679
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",WAUBRAWF,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",WOOLNTH1,-0.799985
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",WPWF,2
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",YAMBUKWF,-0.20
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",YSWF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",AGLHAL,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",AGLSOM,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",ANGAST1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",ARWF1,0.20
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",BALBG1,4.06
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",BALBL1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",BALDHWF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",BANN1,32.06
