C,OPDP.WORLD,NETWORK_OUTAGE,AEMO,PUBLIC,2019/04/29,13:30:06,0000000307290523,NETWORK,0000000307290523
I,NETWORK,OUTAGEDETAIL,3,OUTAGEID,SUBSTATIONID,EQUIPMENTTYPE,EQUIPMENTID,STARTTIME,ENDTIME,SUBMITTEDDATE,OUTAGESTATUSCODE,RESUBMITREASON,RESUBMITOUTAGEID,RECALLTIMEDAY,RECALLTIMENIGHT,LASTCHANGED,REASON,ISSECONDARY,ACTUAL_STARTTIME,ACTUAL_ENDTIME,COMPANYREFCODE
D,NETWORK,OUTAGEDETAIL,3,208883,COFFS,LINE,89,"2100/01/01 07:00:00","2100/01/01 18:00:00","2010/09/04 09:04:18",WDRAWN,"Information Update",208902,60,-1,"2011/01/28 10:29:12","HV equipt commissioning",0,,,TG_50666
D,NETWORK,OUTAGEDETAIL,3,208883,LISMORE,LINE,89,"2100/01/01 07:00:00","2100/01/01 18:00:00","2010/09/04 09:04:18",WDRAWN,"Information Update",208902,60,-1,"2011/01/28 10:29:12","HV equipt commissioning",0,,,TG_50666
D,NETWORK,OUTAGEDETAIL,3,215035,SYD_STH,CB,132A,"2030/01/01 05:00:00","2030/01/01 16:00:00","2011/01/23 06:57:17",WDRAWN,"Information Update",217746,60,-1,"2011/03/15 13:08:17","HV equipt maintenance",0,,,TG_53327
D,NETWORK,OUTAGEDETAIL,3,215688,DDTS,LINE,DDTS_MSS2_330,"2020/01/01 11:00:00","2020/01/01 17:00:00","2011/02/04 15:34:05",WDRAWN,"Information Update",215990,60,-1,"2011/02/11 14:49:46","HV equipt commissioning",0,,,TG_64701
D,NETWORK,OUTAGEDETAIL,3,215688,MURRAY,LINE,DDTS_MSS2_330,"2020/01/01 11:00:00","2020/01/01 17:00:00","2011/02/04 15:34:05",WDRAWN,"Information Update",215990,60,-1,"2011/02/11 14:49:46","HV equipt commissioning",0,,,TG_64701
D,NETWORK,OUTAGEDETAIL,3,215689,DDTS,LINE,DDTS_MSS1_330,"2020/01/01 05:00:00","2020/01/01 11:00:00","2011/02/04 15:34:49",WDRAWN,"Information Update",215988,60,-1,"2011/02/11 14:42:53","HV equipt commissioning",0,,,TG_64701
D,NETWORK,OUTAGEDETAIL,3,215689,MURRAY,LINE,DDTS_MSS1_330,"2020/01/01 05:00:00","2020/01/01 11:00:00","2011/02/04 15:34:49",WDRAWN,"Information Update",215988,60,-1,"2011/02/11 14:42:53","HV equipt commissioning",0,,,TG_64701
D,NETWORK,OUTAGEDETAIL,3,215690,MURRAY,BUS,5B2,"2020/01/01 05:00:00","2020/01/01 17:00:00","2011/02/04 15:37:17",WDRAWN,"Information Update",215989,60,-1,"2011/02/11 14:47:15","HV equipt commissioning",0,,,TG_64701
D,NETWORK,OUTAGEDETAIL,3,753229,CHAPEL,TRANS,T1,"2020/10/01 08:00:00","2020/10/01 16:00:00","2015/10/16 08:54:45",WDRAWN,,,60,60,"2015/10/16 10:23:54","HV equipt maintenance",0,,,127435-OUT1
D,NETWORK,OUTAGEDETAIL,3,786110,LEMONTYM,LINE,SH_LM,"2019/10/15 07:00:00","2019/10/15 15:00:00","2017/06/07 14:51:37",MTLTP,,,120,0,"2019/03/07 14:50:51","HV equipt maintenance",0,,,129923-OUT2
D,NETWORK,OUTAGEDETAIL,3,786110,SHEFIELD,LINE,SH_LM,"2019/10/15 07:00:00","2019/10/15 15:00:00","2017/06/07 14:51:37",MTLTP,,,120,0,"2019/03/07 14:50:51","HV equipt maintenance",0,,,129923-OUT2
D,NETWORK,OUTAGEDETAIL,3,786368,LIAPOOTA,BUS,7MNA,"2019/04/30 08:00:00","2019/04/30 16:30:00","2017/06/13 14:00:01",STLTP,,,60,0,"2019/04/23 14:13:42","Secondary equipt maintenance",1,,,129943-OUT1
