C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/04/30,14:25:45,0000000307332374,P5MIN,0000000307332371
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/04/30 14:30:00","2019/04/30 14:30:00",1,505884196.1540,0,0,0,480,0,84,,,,,0,0,0,0,"2019/04/30 14:25:25"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",BASTYAN,"2019/04/30 14:30:00",-89.08,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",BASTYAN,"2019/04/30 14:35:00",-88.23,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",BASTYAN,"2019/04/30 14:40:00",-87.94,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",BASTYAN,"2019/04/30 14:45:00",-89.72,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",BASTYAN,"2019/04/30 14:50:00",-95.78,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",BASTYAN,"2019/04/30 14:55:00",-95.78,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",BASTYAN,"2019/04/30 15:00:00",-95.83,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",BASTYAN,"2019/04/30 15:05:00",-95.83,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",BASTYAN,"2019/04/30 15:10:00",-97.14,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",BASTYAN,"2019/04/30 15:15:00",-97.88,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",BASTYAN,"2019/04/30 15:20:00",-97.33,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",BASTYAN,"2019/04/30 15:25:00",-97.41,2,"2019/04/30 14:25:25"
