C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,04:00:38,0000000307938051,P5MIN,0000000307938048
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 04:05:00","2019/05/16 04:05:00",0,1404199826.1780,0,0,0,0,0,159.12,,,,,0,0,0,0,"2019/05/16 04:00:26"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",BROKENH1,"2019/05/16 04:15:00",10.91,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",BROKENH1,"2019/05/16 04:20:00",21.27,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",BROKENH1,"2019/05/16 04:25:00",21.25,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",BROKENH1,"2019/05/16 04:30:00",21.24,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",BROKENH1,"2019/05/16 04:40:00",21.75,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",BROKENH1,"2019/05/16 04:45:00",21.85,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",BROKENH1,"2019/05/16 04:50:00",22.24,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",BROKENH1,"2019/05/16 04:55:00",21.62,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",BROKENH1,"2019/05/16 05:00:00",15.77,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",GORDON,"2019/05/16 04:05:00",14.72,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",GORDON,"2019/05/16 04:10:00",18.03,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",GORDON,"2019/05/16 04:15:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",GORDON,"2019/05/16 04:20:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",GORDON,"2019/05/16 04:25:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",GORDON,"2019/05/16 04:30:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",GORDON,"2019/05/16 04:35:00",39.48,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",GORDON,"2019/05/16 04:40:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",GORDON,"2019/05/16 04:45:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",GORDON,"2019/05/16 04:50:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",GORDON,"2019/05/16 04:55:00",17.72,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",GORDON,"2019/05/16 05:00:00",14.18,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",HUMEV,"2019/05/16 04:15:00",34.14,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",HUMEV,"2019/05/16 04:20:00",66.54,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",HUMEV,"2019/05/16 04:25:00",66.49,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",HUMEV,"2019/05/16 04:30:00",66.46,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",HUMEV,"2019/05/16 04:40:00",68.05,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",HUMEV,"2019/05/16 04:45:00",68.36,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",HUMEV,"2019/05/16 04:50:00",69.57,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",HUMEV,"2019/05/16 04:55:00",67.66,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",HUMEV,"2019/05/16 05:00:00",49.34,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",JBUTTERS,"2019/05/16 04:10:00",0.25,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LI_WY_CA,"2019/05/16 04:05:00",14.72,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LI_WY_CA,"2019/05/16 04:10:00",17.16,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LI_WY_CA,"2019/05/16 04:15:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LI_WY_CA,"2019/05/16 04:20:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LI_WY_CA,"2019/05/16 04:25:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LI_WY_CA,"2019/05/16 04:30:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LI_WY_CA,"2019/05/16 04:35:00",39.48,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LI_WY_CA,"2019/05/16 04:40:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LI_WY_CA,"2019/05/16 04:45:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LI_WY_CA,"2019/05/16 04:50:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LI_WY_CA,"2019/05/16 04:55:00",17.72,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LI_WY_CA,"2019/05/16 05:00:00",14.18,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LK_ECHO,"2019/05/16 04:05:00",14.72,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LK_ECHO,"2019/05/16 04:10:00",17.16,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LK_ECHO,"2019/05/16 04:15:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LK_ECHO,"2019/05/16 04:20:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LK_ECHO,"2019/05/16 04:25:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LK_ECHO,"2019/05/16 04:30:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LK_ECHO,"2019/05/16 04:35:00",39.48,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LK_ECHO,"2019/05/16 04:40:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LK_ECHO,"2019/05/16 04:45:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LK_ECHO,"2019/05/16 04:50:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LK_ECHO,"2019/05/16 04:55:00",17.72,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",LK_ECHO,"2019/05/16 05:00:00",14.18,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",MEADOWBK,"2019/05/16 04:05:00",14.72,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",MEADOWBK,"2019/05/16 04:10:00",17.16,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",MEADOWBK,"2019/05/16 04:15:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",MEADOWBK,"2019/05/16 04:20:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",MEADOWBK,"2019/05/16 04:25:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",MEADOWBK,"2019/05/16 04:30:00",17.78,2,"2019/05/16 04:00:26"
